name,free_returns,items_sold,price,status,shipping
"30"" 36"" 42"" Dog Crate Kennel Folding Metal Pet Cage 2 Door With Tray Pan Black",True,240,3958,Brand New,0
Automatic Dog Cat Feeder and Water Dispenser Gravity Food Feeder randomly Colors,True,,1898,Brand New,
Dog DVD  NEW,False,0,1299,Brand New · DVD · Dog,0
No Pull Dog Pet Harness Adjustable Control Vest Dogs Reflective S M L XL XXL,False,,1099,Brand New,
Professional Pet Dog Cat Animal Clippers Hair Grooming Cordless Trimmer Shaver,True,776,799,Brand New,0
Pet Dog /Small Cat Carrier Soft Sided Comfort Bag Travel Case Airline Approved,True,,2239,Brand New,
Shop on eBay,False,,2000,Brand New,
"Dog Chew Toys for Aggressive Chewers,Indestructible Tough Durable Squeaky DogToy",False,,998,Brand New,
Tactical Dog Harness with Handle No-pull Large Military Dog Vest Working Dog Set,True,,1251,Brand New,0
3D Embroidered Service Dog Patch Label Tag For Dog Harness Collar Vest,True,81,599,Brand New,
Mesh Padded Soft Puppy Pet Dog Harness Breathable Comfortable Many Colors S M L,True,,745,Brand New,
"SALE! Black Anti-Pull Stop Pulling Dog Puppy Mesh Harness SMALL For Necks 8""-14""",True,1331,1399,Brand New,
"Metal Dog Combs 2 Pack for Grooming,Pet Comb with Rounded Ends Stainless Steel T",True,,699,Brand New,
METAL DOG LEASH DOG CHAIN LINK CHAIN POLY HANDLE 6' LONG MEDIUM SMALL BREEDS,False,,789,Brand New,
(1265) TWO Individual Paper Luncheon Decoupage Napkins -  CHRISTMAS PUPPY DOG,False,,195,Brand New,
Pet Cat Puppy Dog Bed House Kennel Cave Cat Hut Soft Washable Cushion for Indoor,True,41,2399,Brand New,0
Washable Pet Dog Cat Bed Puppy Cushion House Pet Soft Warm Kennel Dog Mat Blanke,True,,1297,Brand New,0
Dog Multi Vitamins For All Life Stages Health Care Chewable Tablets 180 Count,True,58,2150,Brand New,
Waterproof Electric Heating Pad Heater Warmer Mat Cushion Bed For Pet Dog Cat,False,144,1799,Brand New,
Genuine Leather Dog Leash Braided Heavy Duty Training Lead for Medium Large Dogs,False,384,1199,Brand New,
LED Dog Collar with LED Lights with 3 Blinking Modes USB Rechargeable Battery,True,,1199,Brand New,0
Ultrasonic Anti Dog Barking Trainer LED Light Gentle Chaser Petgentle Sonics,True,3018,875,Brand New,
2X Dog Training WHISTLE UltraSonic Obedience Stop Barking Pet Sound PitchBlack,False,,375,Brand New,0
Small Dog Breathable Adjustable Mesh Harness Vest Collar Soft Chest Strap XS-XL ,False,,209,Brand New,0
"Luxury Jacket for Dog Cat, Small Pets Clothes, Dogs Luxury Clothes",False,0,1999,Brand New,
Pet Dog Puppy Clothes Coat Jacket Winter Warm Padded Vest W/Chest Strap Harness,False,,1187,Brand New,0
PET TAGS BONE (4.0cm) ID STAINLESS STEEL 2 SIDE DIAMOND ENGRAVE DOG CAT NAME TAG,False,,494,Brand New,0
Winter Warm Plush Two-Legged Dog Puppy Vest Shirt Sweater Pet Clothes for Pets,False,0,845,New (Other),0
Personalized Dog Collar Canvas Buckle Engraved ID Name Custom S/M/L,True,,898,Brand New,0
Carhartt Sherpa Insulated Chore Dog Coat - New - Ass't Sizes - FREE SHIPPING,False,0,4999,Brand New,0
USB RECHARGEABLE CHEST HARNESS LED Pet Dog Glow Flashing Light-up Night Safety,True,,1075,Brand New,
Pet Dog Warm Jumper Knit Sweater Clothes Puppy Cat Knitwear Costume Coat Apparel,False,,949,New (Other),0
Large Pet Dog Bed Soft Warm Washable Cushion Pillow Mattress Puppy Mat XL USA,False,,2754,Brand New,0
Ultrasonic Anti Dog Barking Trainer LED Light Gentle Chaser Petgentle Sonics,True,1056,799,Brand New,
COTTON Blend Dog Pajamas Jumpsuit Soft Cute Pet Clothes Small Medium Pet XXS - L,False,,799,Brand New,499
For Apple AirTag Cat Dog Collar Reflective Collar Breakaway Buckle GPS Anti-lost,True,81,789,Brand New · Unbranded,
